שם,עיר,אזור,קטגוריה,קיבולת,קהל יעד,מספר אולמות במתחם,טלפון,אימייל,קישור
כוכב הים,שדות ים,שרון,מקום מיוחד (חוף/וילה/טבע),,,1,0723303972,,https://mazaltov.walla.co.il
אלכסנדר 88 גן אירועים,ניר אליהו,שרון,גן אירועים,,,1,,,https://mazaltov.walla.co.il
קדמא נווה אילן,נווה אילן,ירושלים והסביבה,גן אירועים,,,1,072-3300723,,https://mazaltov.walla.co.il
מלון יהודה,ירושלים,ירושלים והסביבה,אולם חתונות גדול,,,1,072-2160275,,https://mazaltov.walla.co.il
מומנטו,ירושלים,ירושלים והסביבה,אולם קטן/בוטיק,,,1,072-3310622,,https://mazaltov.walla.co.il
אטורה,לטרון,ירושלים והסביבה,גן אירועים,,,1,072-3300731,,https://mazaltov.walla.co.il
שרון גן ואולם אירועים,ירושלים,ירושלים והסביבה,גן אירועים,,,1,072-3300693,,https://mazaltov.walla.co.il
סופיה,ירושלים,ירושלים והסביבה,אולם קטן/בוטיק,,,1,072-3303977,,https://mazaltov.walla.co.il
אמרלד,בית שמש,ירושלים והסביבה,גן אירועים,950,כללי,1,072-3307907,,https://mazaltov.walla.co.il
עין חמד,ירושלים,ירושלים והסביבה,גן אירועים,,,1,072-3300720,,https://mazaltov.walla.co.il
הרמוזו,מודיעין,ירושלים והסביבה,גן אירועים,700,כללי,1,072-2160365,,https://mazaltov.walla.co.il
RAIN,ראשון לציון,מרכז,מתחם רב-אולמי,,,1,03-5224422,,https://hayedion.com
שלוש 3,אור יהודה,מרכז,אולם קטן/בוטיק,300,כללי,1,053-7229073,,https://hayedion.com
לחיים,קרית מלאכי,דרום,אולם בבית כנסת/קהילתי,,,1,050-7703111,,https://hayedion.com
המוזיאון,חולון,מרכז,לופט/אורבני,850,כללי,1,03-5566333,,https://hayedion.com
silver,אשקלון,דרום,אולם חתונות גדול,,,1,054-6601919,,https://hayedion.com
UPTOWN,פתח תקווה,מרכז,אולם חתונות גדול,,,1,050-7772017,,https://hayedion.com
770+,כפר חב"ד,מרכז,אולם בבית כנסת/קהילתי,,,1,052-8710602,770hall@gmail.com,https://hayedion.com
לימה,אזור,מרכז,אולם חתונות גדול,,,1,03-5598358,,https://hayedion.com
בארוק אירועים,רחובות,מרכז,גן אירועים,,,1,052-8243838,barok089976969@gmail.com,https://hayedion.com
בראשיתה,ראשון לציון,מרכז,אולם חתונות גדול,,,1,077-7277969,,https://hayedion.com
SHINE,בת-ים,מרכז,אולם חתונות גדול,,,1,03-5080999,,https://hayedion.com
לאפייט,לוד,מרכז,גן אירועים,,,1,08-9222103,,https://hayedion.com
בלוודר,ראשון לציון,מרכז,אולם חתונות גדול,,,1,050-8225228,,https://hayedion.com
אריסטו,ראשון לציון,מרכז,מתחם רב-אולמי,,,1,03-9413525,,https://hayedion.com
ODEL,פתח תקווה,מרכז,מתחם רב-אולמי,,,1,03-9236353,odel.events.pt@gmail.com,https://hayedion.com
sakura,ראשון לציון,מרכז,אולם קטן/בוטיק,,,1,054-8313559,,https://hayedion.com
תבל מרכז אירועים,באר שבע,דרום,אולם חתונות גדול,,,1,08-610-5550,,https://www.b7net.co.il
אולמי פפה מישל,באר שבע,דרום,אולם חתונות גדול,,,1,072-394-6308,,https://www.b7net.co.il
אולמי סלבדור,באר שבע,דרום,אולם חתונות גדול,,,1,08-6237753,,https://www.b7net.co.il
אולמי הנסיכה,באר שבע,דרום,אולם חתונות גדול,,,1,08-6236222,,https://www.b7net.co.il
הינומה גן אירועים,באר שבע,דרום,גן אירועים,,,1,08-6239752,,https://www.b7net.co.il
אולמי אנאבל,באר שבע,דרום,אולם חתונות גדול,,,1,08-6271696,,https://www.b7net.co.il
אליסה מתחם אירועים,באר שבע,דרום,מתחם רב-אולמי,,,1,054-7304463,,https://www.b7net.co.il
גני אלכסנדר,באר שבע,דרום,גן אירועים,,,1,08-6589313,,https://www.b7net.co.il
מרסל וניו Marcelle-venue,באר שבע,דרום,אולם קטן/בוטיק,,,1,08-6650660,,https://www.b7net.co.il
מברוקה אוצרות מרוקו,באר שבע,דרום,אולם חתונות גדול,,,1,08-6450749,,https://www.b7net.co.il
אודיסאה,באר שבע,דרום,גן אירועים,1100,כללי,1,08-6272730,,https://www.b7net.co.il
סמילנסקי בוטיק,באר שבע,דרום,לופט/אורבני,,,1,08-6277808,,https://www.b7net.co.il
ביאנקה,באר שבע,דרום,אולם חתונות גדול,,,1,08-6659991,,https://www.b7net.co.il
סופיה מתחם אירועים,באר שבע,דרום,מתחם רב-אולמי,,,1,08-6238469,,https://www.b7net.co.il
אגמים,באר שבע,דרום,אולם חתונות גדול,,,1,08-6202500,,https://www.b7net.co.il
אולמי רויאל גרדן,באר שבע,דרום,גן אירועים,,,1,08-6650002,,https://www.b7net.co.il
סיאלו cealio,באר שבע,דרום,אולם חתונות גדול,,,1,08-6238444,,https://www.b7net.co.il
ארמון זהרה,באר שבע,דרום,אולם חתונות גדול,,,1,08-6232001,,https://www.b7net.co.il
נרניה מרכז אירועים,באר שבע,דרום,אולם חתונות גדול,1200,כללי,1,08-6657775,,https://www.b7net.co.il
גני בראשית,באר שבע,דרום,גן אירועים,,,1,08-6460103,,https://www.b7net.co.il
חצר בוצ'רי,באר שבע,דרום,גן אירועים,,,1,08-6233370,,https://www.b7net.co.il
בארוק,באר שבע,דרום,אולם חתונות גדול,,,1,08-6281548,,https://www.b7net.co.il
אצולת העמק,עפולה,צפון,מתחם רב-אולמי,1000,כללי,3,04-6597478,,https://peerhalls.com
אולמי פאר,עפולה,צפון,מתחם רב-אולמי,600,כללי,3,04-6597478,,https://peerhalls.com
אחוזת דוד בגלבוע,מעלה גלבוע,צפון,מקום מיוחד (חוף/וילה/טבע),1000,כללי,1,,,https://rotter.net
בת הגלבוע,עפולה,צפון,גן אירועים,,,1,,,https://rsrv.rest
גולדה בחצר,קיבוץ מרחביה,צפון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://rsrv.rest
כחול וירוק,תל עדשים/נצרת,צפון,גן אירועים,550,כללי,1,,,https://rsrv.rest
שישו ושמחו,עפולה,צפון,אולם קטן/בוטיק,200,כללי,1,,,https://rsrv.rest
אולמי האושר,עפולה,צפון,אולם קטן/בוטיק,180,כללי,1,,,https://rsrv.rest
קאלה KALA,חיפה,צפון,מתחם רב-אולמי,1000,כללי,4,077-7298231,,https://www.kala.co.il
אחוזת הכרמל,חיפה,צפון,מתחם רב-אולמי,,,2,,,https://www.d.co.il
כרמלה,קיבוץ יגור,צפון,גן אירועים,300,כללי,1,055-4539247,,https://iplan.co.il
בית המוכתר,זכרון יעקב,שרון,אולם קטן/בוטיק,170,כללי,1,,,https://iplan.co.il
יקבי קיסריה,קיסריה,שרון,מקום מיוחד (חוף/וילה/טבע),240,כללי,1,055-4539208,,https://iplan.co.il
קאסטלו CASTELLO,עתלית,צפון,אולם חתונות גדול,400,כללי,1,,,https://iplan.co.il
מרפסת,רמת ישי,צפון,אולם קטן/בוטיק,250,כללי,1,,,https://iplan.co.il
אצטדיון סמי עופר,חיפה,צפון,אולם חתונות גדול,,,1,055-4539221,,https://iplan.co.il
סולם יעקב,חיפה,צפון,אולם קטן/בוטיק,,,1,,,https://www.b144.co.il
קאלה KALA אולם מיטוס,חיפה,צפון,אולם חתונות גדול,600,כללי,1,077-7298231,,https://www.kala.co.il
אולמי אלמוג,חיפה,צפון,מתחם רב-אולמי,,,3,,,https://www.britot.co.il
פליסיטי,טירת הכרמל,צפון,אולם חתונות גדול,,,1,,,https://www.britot.co.il
הינומה,נשר,צפון,אולם חתונות גדול,,,1,,,https://www.britot.co.il
אולמי כינורות סיאל,חיפה,צפון,מתחם רב-אולמי,500,כללי,2,,,https://www.britot.co.il
בלה צ'ופ,חיפה,צפון,לופט/אורבני,,,1,,,https://www.britot.co.il
לבן אירועים,חיפה,צפון,גן אירועים,,,1,,,https://www.britot.co.il
Factory חיפה,חיפה,צפון,לופט/אורבני,,,1,,,https://rsrv.rest
ימה Yama,חיפה,צפון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://rsrv.rest
Benuz,חיפה,צפון,אולם קטן/בוטיק,,,1,,,https://rsrv.rest
נועה הבית לאירועים,אשדוד,דרום,אולם קטן/בוטיק,200,כללי,1,,,https://halocation.co.il
גאלרי 35 אירועי בוטיק,אשדוד,דרום,אולם קטן/בוטיק,240,כללי,1,,,https://halocation.co.il
קלואה KALUA,אשדוד,דרום,אולם חתונות גדול,,,1,,,https://halocation.co.il
אהובת הספן,אשדוד,דרום,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://halocation.co.il
אדאו ADEO,כנות,שפלה,גן אירועים,,,1,,,https://halocation.co.il
טאו TAO,כנות,שפלה,גן אירועים,,,1,,,https://halocation.co.il
אדמה מתחם אירועים,אשדוד,דרום,לופט/אורבני,,,1,,,https://www.mazalday.com
שרי אירועים,אשקלון,דרום,אולם חתונות גדול,,,1,,,https://www.mazalday.com
יקבי גוש עציון כרם תמר,אלון שבות,ירושלים והסביבה,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://www.mazalday.com
אולמי בית ישראל,ירושלים,ירושלים והסביבה,אולם בבית כנסת/קהילתי,,,1,,,https://www.mazalday.com
Almora events,נתניה,שרון,אולם חתונות גדול,,,1,,,https://www.mazalday.com
האחוזה נתניה,נתניה,שרון,גן אירועים,500,כללי,1,,,https://www.mazalday.com
קדיתא עמק חפר,נתניה,שרון,גן אירועים,1000,כללי,1,,,https://www.mazalday.com
תל יצחק אירועים,נתניה,שרון,גן אירועים,,,1,,,https://www.mazalday.com
בית מלצ'ט,תל מונד,שרון,גן אירועים,250,כללי,1,,,https://www.mazalday.com
סיטרוס גן אירועים,אבן יהודה,שרון,גן אירועים,,,1,,,https://www.mazalday.com
Skali Events,חיפה,צפון,אולם חתונות גדול,,,1,,,https://www.mazalday.com
ערוגות בשם,חדרה,שרון,גן אירועים,,,1,,,https://www.mazalday.com
אמיל בוטה Émile Botta,ירושלים,ירושלים והסביבה,אולם קטן/בוטיק,,,1,,,https://www.mazalday.com
אולמי בראשית,ירושלים,ירושלים והסביבה,אולם קטן/בוטיק,,,1,,,https://www.mazalday.com
גן אירועים יארה,חדרה,שרון,גן אירועים,,,1,0723307665,,https://mazaltov.walla.co.il
וואלי מתחם אירועים,כפר סבא,שרון,מתחם רב-אולמי,,,1,,,https://www.mazalday.com
אולמי שרון,כפר סבא,שרון,אולם חתונות גדול,,,1,,,https://www.mazalday.com
יקב נטוף,שוהם,מרכז,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://www.mazalday.com
Barukh Hamakom,נתניה,שרון,אולם קטן/בוטיק,120,כללי,1,,,https://www.mazalday.com
אורכדיה,ירושלים,ירושלים והסביבה,אולם חתונות גדול,,,1,,,https://www.b144.co.il
וויו פויינט,ירושלים,ירושלים והסביבה,גן אירועים,,,1,,,https://www.b144.co.il
מלון טנטור ירושלים,ירושלים,ירושלים והסביבה,אולם חתונות גדול,,,1,02-6753002,,https://www.b144.co.il
בית ישראל אולם שמחות,ירושלים,ירושלים והסביבה,אולם בבית כנסת/קהילתי,,,1,,,https://www.b144.co.il
ארמונות אור,ירושלים,ירושלים והסביבה,מתחם רב-אולמי,400,חרדי,2,,,https://www.b144.co.il
לובר אולם אירועים,ירושלים,ירושלים והסביבה,אולם קטן/בוטיק,180,דתי-לאומי,1,,,https://www.b144.co.il
אולמי מרקש,ירושלים,ירושלים והסביבה,אולם חתונות גדול,,חרדי,1,,,https://rotter.net
פבליון אולם ארועים,ירושלים,ירושלים והסביבה,אולם חתונות גדול,,,1,,,https://rotter.net
לה-בל,ירושלים,ירושלים והסביבה,אולם קטן/בוטיק,,,1,,,https://rotter.net
גני המקראים,ירושלים,ירושלים והסביבה,גן אירועים,500,כללי,1,,,https://www.b144.co.il
יערה גן אירועים,נס הרים,ירושלים והסביבה,גן אירועים,,,1,076-8021007,,https://www.b144.co.il
קמפוס ראדין,מודיעין עילית,ירושלים והסביבה,אולם קטן/בוטיק,,,1,,,https://rotter.net
גפנא אירועים מלון בוטיק,בני ברק,מרכז,אולם קטן/בוטיק,,חרדי,1,,,https://rotter.net
נוף הירדן,מצפה יריחו,ירושלים והסביבה,גן אירועים,,,1,,,https://www.b144.co.il
עולמיא,ירושלים,ירושלים והסביבה,גן אירועים,600,כללי,1,055-4539656,,https://iplan.co.il
האחוזה מודיעין,מודיעין,ירושלים והסביבה,אולם חתונות גדול,1000,כללי,1,055-4539656,,https://iplan.co.il
טור סיני,ירושלים,ירושלים והסביבה,גן אירועים,550,כללי,1,,,https://iplan.co.il
ולקאן,ירושלים,ירושלים והסביבה,אולם חתונות גדול,700,כללי,1,,,https://volcanevents.co.il
מלון ענבל ירושלים,ירושלים,ירושלים והסביבה,אולם חתונות גדול,,,1,02-675-6710,events@inbalhotel.com,https://inbalhotel.co.il
אנטריקוט,ירושלים,ירושלים והסביבה,אולם קטן/בוטיק,,,1,,,https://rotter.net
דוריה מתחם אירועים,שדה יואב,דרום,גן אירועים,,,1,,,https://rotter.net
נועה אירועים,אשדוד,דרום,אולם קטן/בוטיק,200,כללי,1,,,https://mekomot-eruim.co.il
הילה אירועי בוטיק,אשדוד,דרום,אולם קטן/בוטיק,,,1,,,https://mekomot-eruim.co.il
איווא אירועים,אשדוד,דרום,אולם קטן/בוטיק,80,כללי,1,08-645-5222,,https://mekomot-eruim.co.il
אהבתיה,קרית מלאכי,דרום,גן אירועים,500,כללי,1,08-9255588,,https://mekomot-eruim.co.il
גני שמשון,אשקלון,דרום,גן אירועים,200,כללי,1,,,https://mekomot-eruim.co.il
אדורה,דימונה,דרום,אולם קטן/בוטיק,,,1,072-3302575,,https://mekomot-eruim.co.il
טליה אירועים,אשקלון,דרום,אולם חתונות גדול,500,כללי,1,073-7793083,,https://mekomot-eruim.co.il
אורימא,באר שבע,דרום,אולם קטן/בוטיק,250,כללי,1,073-7028964,,https://mekomot-eruim.co.il
גלריה 35,אשדוד,דרום,אולם קטן/בוטיק,240,כללי,1,,,https://mekomot-eruim.co.il
ממילא,אשדוד,דרום,גן אירועים,600,כללי,1,,,https://www.b144.co.il
ארבע עונות,קיבוץ ברור חיל,דרום,גן אירועים,,,1,,,https://www.arba-onot.co.il
אל ים EL-YAM,נתניה,שרון,מקום מיוחד (חוף/וילה/טבע),1000,כללי,1,052-9120657,,https://mekomot-eruim.co.il
פבריקה,כפר סבא,שרון,גן אירועים,280,כללי,1,072-3307456,,https://mekomot-eruim.co.il
אבן בלב שמורת הטבע,שרון,שרון,גן אירועים,400,כללי,1,073-7599383,,https://mekomot-eruim.co.il
תיאודור הרצליה,הרצליה,מרכז,גן אירועים,350,כללי,1,072-3319390,,https://mekomot-eruim.co.il
לואי,פרדסיה,שרון,אולם קטן/בוטיק,160,כללי,1,073-7575899,,https://mekomot-eruim.co.il
וילה קיארה,נתניה,שרון,מקום מיוחד (חוף/וילה/טבע),220,כללי,1,052-9126376,,https://mekomot-eruim.co.il
כרם לאירועים,עמק חפר,שרון,מקום מיוחד (חוף/וילה/טבע),,,1,072-2158236,,https://mekomot-eruim.co.il
יקב גארדן,נתניה,שרון,מקום מיוחד (חוף/וילה/טבע),150,כללי,1,072-2160081,,https://mekomot-eruim.co.il
רחוב ירושלמי,חולון,מרכז,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://www.mazalday.com
קרקו אירועים,ראשון לציון,מרכז,אולם קטן/בוטיק,,,1,,,https://www.mazalday.com
Sakoya,מעלה החמישה,ירושלים והסביבה,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://www.mazalday.com
חוות כרם דוד,גליל עליון,צפון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://mekomot-eruim.co.il
גרקו הכשרה,תל אביב,מרכז,לופט/אורבני,180,כללי,1,,,https://mekomot-eruim.co.il
הקאסה יפו,יפו,מרכז,לופט/אורבני,,,1,,,https://mekomot-eruim.co.il
אליטה אירועי בוטיק,אור עקיבא,שרון,אולם קטן/בוטיק,,,1,,,https://mekomot-eruim.co.il
גן עצי הפרי,שרון,שרון,גן אירועים,,,1,,,https://mekomot-eruim.co.il
לימאי אירועים,חדרה,שרון,אולם קטן/בוטיק,,,1,,,https://mekomot-eruim.co.il
ויטראז' מרכז אירועים,נס ציונה,מרכז,אולם חתונות גדול,,,1,,,https://mekomot-eruim.co.il
ארשלם אירועים,ראשון לציון,מרכז,אולם קטן/בוטיק,,,1,,,https://mekomot-eruim.co.il
מלון לה קפלה,חיפה,צפון,אולם קטן/בוטיק,,,1,,,https://mekomot-eruim.co.il
Beeper,רמת ישי,צפון,אולם קטן/בוטיק,,,1,,,https://rsrv.rest
Wide Open,רמת ישי,צפון,לופט/אורבני,150,כללי,1,,,https://mekomot-eruim.co.il
קולוניה,רחובות,מרכז,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://rsrv.rest
הפרדס,רחובות,מרכז,גן אירועים,650,כללי,1,,,https://rsrv.rest
גושן,רחובות,מרכז,אולם קטן/בוטיק,,,1,,,https://rsrv.rest
טוסקנה בנימינה,בנימינה,שרון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://rsrv.rest
אביגדור,תל אביב,מרכז,לופט/אורבני,,,1,,,https://rsrv.rest
ACOSTA,תל אביב,מרכז,לופט/אורבני,,,1,,,https://rsrv.rest
רפאל אירועים,תל אביב,מרכז,אולם קטן/בוטיק,,,1,,,https://rsrv.rest
Pablo,חיפה,צפון,אולם קטן/בוטיק,,,1,,,https://rsrv.rest
Camilo,תל אביב,מרכז,לופט/אורבני,,,1,,,https://rsrv.rest
יורדי הסירה,תל אביב,מרכז,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://rsrv.rest
Peer Halls,עפולה,צפון,מתחם רב-אולמי,600,כללי,3,04-6597478,,https://rsrv.rest
Volcan,ירושלים,ירושלים והסביבה,אולם חתונות גדול,700,כללי,1,,,https://rsrv.rest
Lumiere,ירושלים,ירושלים והסביבה,אולם חתונות גדול,300,כללי,1,,,https://rsrv.rest
Solis מעלה אדומים,מעלה אדומים,ירושלים והסביבה,אולם חתונות גדול,,,1,,,https://rsrv.rest
Tesoro,רמת השרון,מרכז,גן אירועים,450,כללי,1,,,https://rsrv.rest
ארמונותיה,בת ים,מרכז,אולם חתונות גדול,650,כללי,1,,,https://rsrv.rest
Terminal,פתח תקווה,מרכז,גן אירועים,900,כללי,1,,,https://rsrv.rest
Eve תל אביב,תל אביב,מרכז,אולם קטן/בוטיק,300,כללי,1,,,https://rsrv.rest
מרפסה בני ברק,בני ברק,מרכז,אולם קטן/בוטיק,350,חרדי,1,,,https://rsrv.rest
Olympia,בת ים,מרכז,אולם חתונות גדול,,,1,,,https://rsrv.rest
ELYA,אור יהודה,מרכז,לופט/אורבני,450,כללי,1,,,https://rsrv.rest
בית השמחות,תל אביב,מרכז,גן אירועים,350,כללי,1,,,https://rsrv.rest
היכלי מלכות,בני ברק,מרכז,אולם חתונות גדול,600,חרדי,1,,,https://rsrv.rest
Afeka,תל אביב,מרכז,לופט/אורבני,500,כללי,1,,,https://rsrv.rest
Bellagio בת ים,בת ים,מרכז,אולם חתונות גדול,1400,כללי,1,,,https://rsrv.rest
Dan Panorama TA,תל אביב,מרכז,אולם חתונות גדול,,,1,,,https://rsrv.rest
ונישן,פתח תקווה,מרכז,אולם חתונות גדול,1200,כללי,1,,,https://10comm.com
קליי CLAY,פתח תקווה,מרכז,אולם קטן/בוטיק,400,כללי,1,,,https://10comm.com
אולמי ריה,פתח תקווה,מרכז,אולם קטן/בוטיק,300,כללי,1,,,https://10comm.com
דרזנר 5,מרכז,מרכז,מתחם רב-אולמי,300,כללי,1,,,https://10comm.com
האחוזה נתניה ב,נתניה,שרון,גן אירועים,500,כללי,1,,,https://10comm.com
הודיה אירועים,חדרה,שרון,אולם חתונות גדול,500,כללי,1,,,https://10comm.com
לומייר,ירושלים,ירושלים והסביבה,אולם קטן/בוטיק,300,כללי,1,,,https://10comm.com
הדריה,ירושלים,ירושלים והסביבה,אולם חתונות גדול,1100,כללי,1,,,https://10comm.com
DCity DCITY,מעלה אדומים,ירושלים והסביבה,מתחם רב-אולמי,2500,כללי,4,,,https://10comm.com
ארטיסטה,שרון,שרון,גן אירועים,700,כללי,1,,,https://10comm.com
אקפלה,נתניה,שרון,אולם קטן/בוטיק,230,כללי,1,,,https://10comm.com
עלמרי ALMARE,ראשון לציון,מרכז,אולם קטן/בוטיק,180,כללי,1,,,https://10comm.com
סיה אירועים,נס ציונה,מרכז,אולם קטן/בוטיק,220,כללי,1,,,https://10comm.com
רוקה ROCCA,בנימינה,שרון,גן אירועים,1000,כללי,1,,,https://10comm.com
סנטוריני וילה,גן יבנה,מרכז,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://halocation.co.il
וילה לבנדר בגלבוע,מושב נורית,צפון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://halocation.co.il
בית הדבש,נס ציונה,מרכז,אולם קטן/בוטיק,,,1,,,https://mekomot-eruim.co.il
חוות אמנות בעין הוד,עין הוד,צפון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://www.hafakot.co.il
בריכות לאירועים גליל מערבי,גליל מערבי,צפון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://mekomot-eruim.co.il
קסם הנוף מגדל,מגדל,צפון,מקום מיוחד (חוף/וילה/טבע),,,1,,,https://mekomot-eruim.co.il
מלון הושבה,כפר תבור,צפון,אולם חתונות גדול,,,1,,,https://mekomot-eruim.co.il
מלון קיבוץ לביא,לביא,צפון,אולם חתונות גדול,,,1,,,https://mekomot-eruim.co.il
אולמי 7 הילס,צפון,צפון,אולם חתונות גדול,,,1,,,https://www.openclosed.co.il
